id,fid,h,a,date,league_id,season,h_goals,a_goals,team_h,team_a,h_xg,a_xg,h_w,h_d,h_l,league,h_shot,a_shot,h_shotOnTarget,a_shotOnTarget,h_deep,a_deep,a_ppda,h_ppda
12412,1388154,134,129,2019-08-23 19:30:00,3,2019,1,3,FC Cologne,Borussia Dortmund,0.937461,2.08181,0.1045,0.2058,0.6897,Bundesliga,13,14,1,6,2,6,4.5652,16.625
12413,1388155,205,135,2019-08-24 14:30:00,3,2019,1,3,Paderborn,Freiburg,1.81166,2.38424,0.2365,0.2262,0.5373,Bundesliga,16,9,2,4,4,7,14.4706,5.5588
12414,1388148,120,123,2019-08-24 14:30:00,3,2019,3,2,Hoffenheim,Werder Bremen,1.05096,0.841426,0.4031,0.3288,0.2681,Bundesliga,10,18,3,6,4,3,16.5263,10.5
12415,1388149,233,119,2019-08-24 14:30:00,3,2019,1,3,Fortuna Duesseldorf,Bayer Leverkusen,1.12017,1.82469,0.1953,0.2461,0.5586,Bundesliga,12,12,6,7,4,7,5.1379,18.76
12416,1388151,125,130,2019-08-24 14:30:00,3,2019,1,3,Mainz 05,Borussia M.Gladbach,1.81289,2.09431,0.3105,0.2359,0.4536,Bundesliga,21,15,4,6,5,9,10.7222,8.1724
12417,1388153,121,240,2019-08-24 14:30:00,3,2019,1,1,Augsburg,Union Berlin,1.37579,0.891198,0.4884,0.3129,0.1987,Bundesliga,12,11,4,1,3,2,6.931,6.1111
12418,1388152,124,117,2019-08-24 17:30:00,3,2019,0,3,Schalke 04,Bayern Munich,1.08016,1.59729,0.2075,0.2753,0.5172,Bundesliga,11,10,2,6,6,9,9.6842,18.28
12419,1388147,136,132,2019-08-25 14:30:00,3,2019,2,1,RasenBallsport Leipzig,Eintracht Frankfurt,1.77604,0.935237,0.6109,0.2393,0.1498,Bundesliga,12,10,5,5,2,4,9.2963,13.8636
12420,1388150,122,131,2019-08-25 17:00:00,3,2019,0,3,Hertha Berlin,Wolfsburg,0.936557,1.33245,0.2245,0.3142,0.4613,Bundesliga,9,10,2,4,10,5,11.3077,7.9615
12421,1388158,130,136,2019-08-30 19:30:00,3,2019,1,3,Borussia M.Gladbach,RasenBallsport Leipzig,1.4586,3.13131,0.0754,0.1511,0.7735,Bundesliga,12,14,3,6,4,7,8.1667,8.2857
12422,1388159,131,205,2019-08-31 14:30:00,3,2019,1,1,Wolfsburg,Paderborn,0.996067,0.492299,0.497,0.3343,0.1687,Bundesliga,16,8,5,3,9,6,10.2581,4.7778
12423,1388162,135,134,2019-08-31 14:30:00,3,2019,1,2,Freiburg,FC Cologne,0.838391,1.62928,0.136,0.2447,0.6193,Bundesliga,15,10,1,3,1,3,6.5882,11.4375
12424,1388163,124,122,2019-08-31 14:30:00,3,2019,3,0,Schalke 04,Hertha Berlin,1.16546,0.771094,0.4742,0.3152,0.2106,Bundesliga,9,10,2,3,7,6,21.375,11.7727
12425,1388156,117,125,2019-08-31 14:30:00,3,2019,6,1,Bayern Munich,Mainz 05,3.34597,0.72047,0.9165,0.0653,0.0182,Bundesliga,18,7,10,4,8,2,20.35,5.3548
12426,1388157,119,120,2019-08-31 14:30:00,3,2019,0,0,Bayer Leverkusen,Hoffenheim,0.936475,0.450548,0.4701,0.3677,0.1622,Bundesliga,20,6,2,1,8,1,20.8333,7.6923
12427,1388164,240,129,2019-08-31 17:30:00,3,2019,3,1,Union Berlin,Borussia Dortmund,1.4209,1.60213,0.2902,0.3058,0.404,Bundesliga,15,13,7,2,2,12,8.2308,23.7368
12428,1388161,123,121,2019-09-01 14:30:00,3,2019,3,2,Werder Bremen,Augsburg,2.46951,1.48072,0.6335,0.223,0.1435,Bundesliga,15,12,5,6,5,5,18.875,8.8125
12429,1388160,132,233,2019-09-01 17:00:00,3,2019,2,1,Eintracht Frankfurt,Fortuna Duesseldorf,1.75705,0.759809,0.65,0.2266,0.1234,Bundesliga,14,14,8,4,2,3,12.4091,6.2273
12430,1388168,233,131,2019-09-13 18:30:00,3,2019,1,1,Fortuna Duesseldorf,Wolfsburg,0.679763,2.28602,0.0539,0.1372,0.8089,Bundesliga,12,15,3,6,4,3,6.8889,14.9048
12431,1388169,125,122,2019-09-14 13:30:00,3,2019,2,1,Mainz 05,Hertha Berlin,1.1162,2.07839,0.1585,0.2323,0.6092,Bundesliga,12,16,5,8,4,8,14.8333,10.5217
12432,1388170,121,132,2019-09-14 13:30:00,3,2019,2,1,Augsburg,Eintracht Frankfurt,1.58878,0.899696,0.5617,0.2518,0.1865,Bundesliga,8,22,6,3,3,9,6.1667,18.4
12433,1388171,134,130,2019-09-14 13:30:00,3,2019,0,1,FC Cologne,Borussia M.Gladbach,0.841764,1.55336,0.1761,0.2557,0.5682,Bundesliga,14,15,7,4,8,7,6.1818,5.1111
12434,1388173,240,123,2019-09-14 13:30:00,3,2019,1,2,Union Berlin,Werder Bremen,1.98106,2.14722,0.3166,0.2848,0.3986,Bundesliga,13,16,5,7,5,6,9.1176,8.7692
12435,1388165,129,119,2019-09-14 13:30:00,3,2019,4,0,Borussia Dortmund,Bayer Leverkusen,3.23112,1.14812,0.8574,0.1039,0.0387,Bundesliga,9,12,7,2,9,3,6.92,16.6071
12436,1388166,136,117,2019-09-14 16:30:00,3,2019,1,1,RasenBallsport Leipzig,Bayern Munich,1.65427,1.6704,0.3661,0.265,0.3689,Bundesliga,13,14,6,7,7,10,9.1429,17.1786
12437,1388167,120,135,2019-09-15 13:30:00,3,2019,0,3,Hoffenheim,Freiburg,1.10385,1.78643,0.2205,0.2374,0.5421,Bundesliga,23,18,5,8,11,5,21.875,6.7368
12438,1388172,205,124,2019-09-15 16:00:00,3,2019,1,5,Paderborn,Schalke 04,1.39508,1.9184,0.2442,0.2595,0.4963,Bundesliga,11,17,1,11,3,14,7.7407,8.5
12439,1388182,124,125,2019-09-20 18:30:00,3,2019,2,1,Schalke 04,Mainz 05,0.873048,0.985151,0.3071,0.3177,0.3752,Bundesliga,18,14,6,3,6,6,7.125,8.3333
12440,1388180,122,205,2019-09-21 13:30:00,3,2019,2,1,Hertha Berlin,Paderborn,0.983173,1.89015,0.1479,0.2316,0.6205,Bundesliga,6,18,4,8,4,8,5.8621,8.1892
12441,1388181,135,121,2019-09-21 13:30:00,3,2019,1,1,Freiburg,Augsburg,1.70133,0.884946,0.5992,0.2461,0.1547,Bundesliga,17,13,5,2,5,6,10.68,7.0952
12442,1388174,117,134,2019-09-21 13:30:00,3,2019,4,0,Bayern Munich,FC Cologne,2.92351,1.03267,0.8058,0.1282,0.066,Bundesliga,25,14,5,2,12,7,14.5,7.92
12443,1388175,119,240,2019-09-21 13:30:00,3,2019,2,0,Bayer Leverkusen,Union Berlin,1.55742,0.125413,0.7868,0.1901,0.0231,Bundesliga,20,4,7,0,8,1,22.52,9.5
12444,1388179,123,136,2019-09-21 16:30:00,3,2019,0,3,Werder Bremen,RasenBallsport Leipzig,0.583174,1.72557,0.0911,0.2219,0.687,Bundesliga,8,14,1,7,9,8,9.7857,13.9524
12445,1388176,130,233,2019-09-22 13:30:00,3,2019,2,1,Borussia M.Gladbach,Fortuna Duesseldorf,4.2854,1.27666,0.9147,0.058,0.0273,Bundesliga,23,18,11,4,7,5,18.4,9.8235
12446,1388178,132,129,2019-09-22 16:00:00,3,2019,2,2,Eintracht Frankfurt,Borussia Dortmund,1.15899,2.36595,0.1243,0.1931,0.6826,Bundesliga,18,16,3,7,1,6,7.9048,10.05
12447,1388177,131,120,2019-09-23 18:30:00,3,2019,1,1,Wolfsburg,Hoffenheim,0.941782,0.743288,0.3887,0.3426,0.2687,Bundesliga,12,9,4,5,6,8,10.1379,10.0714
12448,1388227,240,132,2019-09-27 18:30:00,3,2019,1,2,Union Berlin,Eintracht Frankfurt,0.7564,2.31283,0.0601,0.1454,0.7945,Bundesliga,11,17,5,6,4,2,9.875,13.6429
12449,1388223,205,117,2019-09-28 13:30:00,3,2019,2,3,Paderborn,Bayern Munich,0.281111,3.47305,0.0048,0.0296,0.9656,Bundesliga,10,18,5,6,2,17,9.8571,16.8
12450,1388211,125,131,2019-09-28 13:30:00,3,2019,0,1,Mainz 05,Wolfsburg,1.27755,0.994636,0.4112,0.3241,0.2647,Bundesliga,15,4,5,3,5,7,9.4615,7.6071
12451,1388215,121,119,2019-09-28 13:30:00,3,2019,0,3,Augsburg,Bayer Leverkusen,0.27153,0.978659,0.0869,0.3246,0.5885,Bundesliga,7,11,1,5,1,6,11.0,25.6522
12452,1388184,136,124,2019-09-28 13:30:00,3,2019,1,3,RasenBallsport Leipzig,Schalke 04,1.2781,2.64689,0.1008,0.1738,0.7254,Bundesliga,16,13,6,8,13,10,9.6061,6.36
12453,1388185,120,130,2019-09-28 13:30:00,3,2019,0,3,Hoffenheim,Borussia M.Gladbach,1.30868,2.83647,0.1025,0.1612,0.7363,Bundesliga,17,12,4,5,5,6,10.3846,13.2381
12454,1388183,129,123,2019-09-28 16:30:00,3,2019,2,2,Borussia Dortmund,Werder Bremen,1.76252,0.98217,0.5793,0.2457,0.175,Bundesliga,19,11,7,5,8,3,22.4118,11.6667
12455,1388186,233,135,2019-09-29 13:30:00,3,2019,1,2,Fortuna Duesseldorf,Freiburg,2.01843,1.67484,0.4468,0.276,0.2772,Bundesliga,18,9,7,3,3,2,12.16,20.2308
12456,1388219,134,122,2019-09-29 16:00:00,3,2019,0,4,FC Cologne,Hertha Berlin,0.533432,2.20336,0.044,0.1321,0.8239,Bundesliga,8,10,3,6,8,4,18.875,10.0
12459,1388189,122,233,2019-10-04 19:30:00,3,2019,3,1,Hertha Berlin,Fortuna Duesseldorf,2.0219,1.1795,0.5902,0.249,0.1608,Bundesliga,17,10,3,3,6,2,12.6087,11.1818
12458,1388198,205,125,2019-10-05 14:30:00,3,2019,1,2,Paderborn,Mainz 05,1.49293,2.63853,0.1397,0.206,0.6543,Bundesliga,16,16,7,7,3,7,11.2571,12.7273
12460,1388192,135,129,2019-10-05 14:30:00,3,2019,2,2,Freiburg,Borussia Dortmund,0.467957,0.774276,0.1859,0.4063,0.4078,Bundesliga,6,8,1,4,2,4,12.3333,20.087
12461,1388231,117,120,2019-10-05 14:30:00,3,2019,1,2,Bayern Munich,Hoffenheim,1.77327,0.723738,0.6499,0.2202,0.1299,Bundesliga,20,8,4,5,11,3,21.4737,8.2069
12462,1388235,119,136,2019-10-05 14:30:00,3,2019,1,1,Bayer Leverkusen,RasenBallsport Leipzig,1.6617,2.45811,0.1843,0.2403,0.5754,Bundesliga,11,11,8,5,9,3,16.9,7.8148
12457,1388195,124,134,2019-10-05 17:30:00,3,2019,1,1,Schalke 04,FC Cologne,2.04637,1.04818,0.6428,0.2159,0.1413,Bundesliga,15,9,3,5,12,2,10.1304,4.5946
12465,1388239,130,121,2019-10-06 12:30:00,3,2019,5,1,Borussia M.Gladbach,Augsburg,3.59033,1.35488,0.8657,0.0928,0.0415,Bundesliga,12,14,9,3,11,3,17.1739,8.0385
12463,1388440,131,240,2019-10-06 14:30:00,3,2019,1,0,Wolfsburg,Union Berlin,1.80334,0.511105,0.7255,0.1915,0.083,Bundesliga,13,14,4,3,6,2,7.6786,9.15
12464,1388441,132,123,2019-10-06 17:00:00,3,2019,2,2,Eintracht Frankfurt,Werder Bremen,2.95637,1.75811,0.6882,0.2011,0.1107,Bundesliga,25,11,7,5,8,2,14.6875,6.7826
12471,1388218,132,119,2019-10-18 19:30:00,3,2019,3,0,Eintracht Frankfurt,Bayer Leverkusen,2.73688,1.58917,0.6558,0.1813,0.1629,Bundesliga,10,19,5,10,9,7,5.2609,16.6087
12466,1388201,121,117,2019-10-19 14:30:00,3,2019,2,2,Augsburg,Bayern Munich,2.14428,3.06071,0.1888,0.2189,0.5923,Bundesliga,9,24,7,9,3,20,6.2941,33.5385
12468,1388207,240,135,2019-10-19 14:30:00,3,2019,2,0,Union Berlin,Freiburg,1.47678,0.565578,0.6377,0.2485,0.1138,Bundesliga,17,12,5,4,8,6,11.1765,11.931
12470,1388214,136,131,2019-10-19 14:30:00,3,2019,1,1,RasenBallsport Leipzig,Wolfsburg,1.35769,1.69441,0.2631,0.2892,0.4477,Bundesliga,15,13,5,6,6,6,10.1154,7.069
12472,1388222,123,122,2019-10-19 14:30:00,3,2019,1,1,Werder Bremen,Hertha Berlin,0.967641,0.353813,0.5119,0.36,0.1281,Bundesliga,16,12,5,2,10,2,24.2308,15.1053
12474,1388230,233,125,2019-10-19 14:30:00,3,2019,1,0,Fortuna Duesseldorf,Mainz 05,2.01829,0.236283,0.8656,0.112,0.0224,Bundesliga,20,7,4,1,6,0,14.6842,11.7143
12469,1388210,129,130,2019-10-19 17:30:00,3,2019,1,0,Borussia Dortmund,Borussia M.Gladbach,1.62968,3.217,0.094,0.1433,0.7627,Bundesliga,16,14,7,3,6,11,12.619,9.3182
12467,1388204,134,205,2019-10-20 14:30:00,3,2019,3,0,FC Cologne,Paderborn,2.41631,0.574545,0.8171,0.1326,0.0503,Bundesliga,17,9,6,1,3,2,9.28,15.7083
12473,1388226,120,124,2019-10-20 17:00:00,3,2019,2,0,Hoffenheim,Schalke 04,0.973105,0.859284,0.3716,0.3601,0.2683,Bundesliga,9,11,3,1,1,14,6.0588,8.6552
12483,1388443,125,134,2019-10-25 19:30:00,3,2019,3,1,Mainz 05,FC Cologne,1.54568,1.52391,0.3765,0.271,0.3525,Bundesliga,18,17,6,8,4,9,10.8889,7.6429
12476,1388234,117,240,2019-10-26 14:30:00,3,2019,2,1,Bayern Munich,Union Berlin,2.88476,1.7324,0.6539,0.2096,0.1365,Bundesliga,21,6,10,4,15,0,15.5357,8.8636
12477,1388194,205,233,2019-10-26 14:30:00,3,2019,2,0,Paderborn,Fortuna Duesseldorf,0.738686,1.43646,0.1721,0.2729,0.555,Bundesliga,14,18,6,4,3,5,9.6364,8.875
12478,1388191,124,129,2019-10-26 14:30:00,3,2019,0,0,Schalke 04,Borussia Dortmund,1.08518,0.346623,0.5886,0.3096,0.1018,Bundesliga,14,8,3,3,3,4,8.0,11.0
12481,1388188,135,136,2019-10-26 14:30:00,3,2019,2,1,Freiburg,RasenBallsport Leipzig,1.77638,2.55936,0.1965,0.2302,0.5733,Bundesliga,14,24,3,6,3,8,11.5238,12.9583
12482,1388442,122,120,2019-10-26 14:30:00,3,2019,2,3,Hertha Berlin,Hoffenheim,2.37055,2.93074,0.2603,0.2297,0.51,Bundesliga,13,17,4,8,7,4,11.3529,9.7647
12475,1388238,119,123,2019-10-26 17:30:00,3,2019,2,2,Bayer Leverkusen,Werder Bremen,2.95018,0.502517,0.9148,0.0663,0.0189,Bundesliga,24,11,4,3,8,6,17.4118,5.0
12480,1388245,131,121,2019-10-27 14:30:00,3,2019,0,0,Wolfsburg,Augsburg,0.955818,0.741183,0.3998,0.3414,0.2588,Bundesliga,14,10,3,5,7,5,10.65,7.1304
12479,1388242,130,132,2019-10-27 17:00:00,3,2019,4,2,Borussia M.Gladbach,Eintracht Frankfurt,1.99947,0.997822,0.6378,0.2184,0.1438,Bundesliga,13,15,7,3,5,3,8.3448,12.35
12489,1388213,120,205,2019-11-01 19:30:00,3,2019,3,0,Hoffenheim,Paderborn,1.89547,0.464343,0.7621,0.1757,0.0622,Bundesliga,12,9,7,2,7,2,45.5,19.9375
12484,1388197,129,131,2019-11-02 14:30:00,3,2019,3,0,Borussia Dortmund,Wolfsburg,2.14832,1.31443,0.5933,0.2263,0.1804,Bundesliga,17,12,8,3,11,9,10.8125,10.0
12485,1388200,136,125,2019-11-02 14:30:00,3,2019,8,0,RasenBallsport Leipzig,Mainz 05,3.95826,0.85545,0.9461,0.0422,0.0117,Bundesliga,18,9,12,2,11,4,23.6316,8.1538
12486,1388203,119,130,2019-11-02 14:30:00,3,2019,1,2,Bayer Leverkusen,Borussia M.Gladbach,2.12992,2.05874,0.3762,0.2549,0.3689,Bundesliga,23,10,6,6,3,3,16.1667,7.5556
12487,1388206,132,117,2019-11-02 14:30:00,3,2019,5,1,Eintracht Frankfurt,Bayern Munich,2.99704,1.08228,0.8211,0.1211,0.0578,Bundesliga,17,8,11,3,7,5,15.0,9.9535
12488,1388209,123,135,2019-11-02 14:30:00,3,2019,2,2,Werder Bremen,Freiburg,2.02587,0.873641,0.6763,0.1995,0.1242,Bundesliga,20,13,9,3,9,5,11.25,15.2
12492,1388225,240,122,2019-11-02 17:30:00,3,2019,1,0,Union Berlin,Hertha Berlin,1.31187,0.415645,0.6757,0.2473,0.077,Bundesliga,14,7,6,3,3,4,27.2222,8.5
12490,1388217,233,134,2019-11-03 14:30:00,3,2019,2,0,Fortuna Duesseldorf,FC Cologne,2.18646,1.03434,0.6952,0.2032,0.1016,Bundesliga,9,8,3,1,1,10,6.6522,8.871
12491,1388221,121,124,2019-11-03 17:00:00,3,2019,2,3,Augsburg,Schalke 04,1.55099,0.355124,0.7588,0.1911,0.0501,Bundesliga,12,10,4,3,6,5,6.7647,15.5652
12498,1388190,134,120,2019-11-08 19:30:00,3,2019,1,2,FC Cologne,Hoffenheim,0.638731,1.6191,0.104,0.2315,0.6645,Bundesliga,11,15,3,5,12,8,10.0,8.8
12494,1388241,122,136,2019-11-09 14:30:00,3,2019,2,4,Hertha Berlin,RasenBallsport Leipzig,0.46433,1.93927,0.036,0.1291,0.8349,Bundesliga,7,10,3,7,2,9,7.069,16.1304
12495,1388244,125,240,2019-11-09 14:30:00,3,2019,2,3,Mainz 05,Union Berlin,2.04684,1.5394,0.4996,0.2481,0.2523,Bundesliga,16,14,5,4,8,6,10.0769,6.3103
12497,1388187,124,233,2019-11-09 14:30:00,3,2019,3,3,Schalke 04,Fortuna Duesseldorf,1.23132,2.06462,0.1516,0.2376,0.6108,Bundesliga,12,9,5,5,3,5,10.1852,10.2
12499,1388193,205,121,2019-11-09 14:30:00,3,2019,0,1,Paderborn,Augsburg,1.20293,1.09006,0.3831,0.3242,0.2927,Bundesliga,12,13,4,5,3,17,12.1111,6.15
12493,1388229,117,129,2019-11-09 17:30:00,3,2019,4,0,Bayern Munich,Borussia Dortmund,3.90951,0.608676,0.969,0.0272,0.0038,Bundesliga,17,2,5,0,8,1,18.2727,10.0
12500,1388233,130,123,2019-11-10 12:30:00,3,2019,3,1,Borussia M.Gladbach,Werder Bremen,2.15941,1.59871,0.5059,0.2537,0.2404,Bundesliga,17,16,7,7,6,3,10.2222,6.9697
12501,1388237,131,119,2019-11-10 14:30:00,3,2019,0,2,Wolfsburg,Bayer Leverkusen,0.571444,1.20713,0.1639,0.3051,0.531,Bundesliga,10,9,1,4,4,0,9.4167,10.3438
12496,1388247,135,132,2019-11-10 17:00:00,3,2019,1,0,Freiburg,Eintracht Frankfurt,0.773034,1.13495,0.2278,0.3214,0.4508,Bundesliga,13,17,7,6,6,7,19.0,10.4444
12502,1388196,129,205,2019-11-22 19:30:00,3,2019,3,3,Borussia Dortmund,Paderborn,1.9077,2.10743,0.3193,0.2439,0.4368,Bundesliga,17,9,7,4,14,3,31.8571,6.0
12503,1388202,119,135,2019-11-23 14:30:00,3,2019,1,1,Bayer Leverkusen,Freiburg,3.96943,1.25233,0.9096,0.0698,0.0206,Bundesliga,27,8,9,2,7,4,19.7,6.85
12505,1388216,233,117,2019-11-23 14:30:00,3,2019,0,4,Fortuna Duesseldorf,Bayern Munich,0.443491,3.81728,0.0026,0.0229,0.9745,Bundesliga,13,17,1,5,3,14,5.5652,32.3846
12507,1388208,123,124,2019-11-23 14:30:00,3,2019,1,2,Werder Bremen,Schalke 04,1.7254,0.660152,0.6936,0.218,0.0884,Bundesliga,18,11,5,5,7,4,9.3333,8.5758
12508,1388205,132,131,2019-11-23 14:30:00,3,2019,0,2,Eintracht Frankfurt,Wolfsburg,0.848135,1.35049,0.2162,0.2784,0.5054,Bundesliga,17,9,9,6,9,4,9.32,3.1852
12509,1388224,240,130,2019-11-23 14:30:00,3,2019,2,0,Union Berlin,Borussia M.Gladbach,1.49758,0.95814,0.5253,0.2814,0.1933,Bundesliga,11,13,6,2,4,7,10.8667,15.4
12504,1388199,136,134,2019-11-23 17:30:00,3,2019,4,1,RasenBallsport Leipzig,FC Cologne,2.57218,0.886616,0.79,0.1481,0.0619,Bundesliga,21,6,8,1,22,3,30.0714,9.8333
12510,1388220,121,122,2019-11-24 14:30:00,3,2019,4,0,Augsburg,Hertha Berlin,1.76885,0.801011,0.6362,0.2446,0.1192,Bundesliga,14,5,5,1,2,2,14.1667,11.1304
12506,1388212,120,125,2019-11-24 17:00:00,3,2019,1,5,Hoffenheim,Mainz 05,2.15404,2.10482,0.3994,0.2186,0.382,Bundesliga,22,12,9,5,9,4,11.4074,9.1176
12515,1388435,124,240,2019-11-29 19:30:00,3,2019,2,1,Schalke 04,Union Berlin,1.27089,1.65551,0.2606,0.277,0.4624,Bundesliga,17,17,8,7,9,1,12.3913,11.15
12513,1388433,122,129,2019-11-30 14:30:00,3,2019,1,2,Hertha Berlin,Borussia Dortmund,0.751161,1.48269,0.1566,0.2568,0.5866,Bundesliga,13,7,3,5,7,9,15.95,8.9697
12516,1388436,134,121,2019-11-30 14:30:00,3,2019,1,1,FC Cologne,Augsburg,1.07293,2.28696,0.1031,0.1833,0.7136,Bundesliga,12,11,6,4,8,5,12.0,8.8636
12517,1388437,205,136,2019-11-30 14:30:00,3,2019,2,3,Paderborn,RasenBallsport Leipzig,1.55563,1.79269,0.3265,0.2477,0.4258,Bundesliga,8,18,4,7,4,10,8.2973,9.1935
12518,1388240,120,233,2019-11-30 14:30:00,3,2019,1,1,Hoffenheim,Fortuna Duesseldorf,2.69182,0.884323,0.8238,0.1207,0.0555,Bundesliga,12,11,6,3,6,3,11.2857,14.85
12512,1388228,117,119,2019-11-30 17:30:00,3,2019,1,2,Bayern Munich,Bayer Leverkusen,2.24624,1.44804,0.5602,0.2165,0.2233,Bundesliga,24,11,11,7,16,3,20.5,4.6071
12511,1388232,130,135,2019-12-01 14:30:00,3,2019,4,2,Borussia M.Gladbach,Freiburg,5.28668,1.5268,0.9672,0.0257,0.0071,Bundesliga,23,12,13,4,19,3,14.1667,15.6471
12519,1388236,131,123,2019-12-01 17:00:00,3,2019,2,3,Wolfsburg,Werder Bremen,2.7056,1.29088,0.7363,0.1753,0.0884,Bundesliga,20,10,6,3,7,2,12.2857,5.5833
12514,1388434,125,132,2019-12-02 19:30:00,3,2019,2,1,Mainz 05,Eintracht Frankfurt,2.05075,2.0102,0.3865,0.253,0.3605,Bundesliga,18,14,8,4,12,6,11.7778,6.2963
12524,1388249,132,122,2019-12-06 19:30:00,3,2019,2,2,Eintracht Frankfurt,Hertha Berlin,2.6934,1.43518,0.681,0.1932,0.1258,Bundesliga,25,9,6,3,9,1,12.9412,6.0
12520,1388438,129,233,2019-12-07 14:30:00,3,2019,5,0,Borussia Dortmund,Fortuna Duesseldorf,3.95015,0.102341,0.9917,0.008,0.0003,Bundesliga,23,2,10,0,24,4,34.2,8.1154
12521,1388439,136,120,2019-12-07 14:30:00,3,2019,3,1,RasenBallsport Leipzig,Hoffenheim,3.5887,1.28019,0.8615,0.0946,0.0439,Bundesliga,25,11,14,1,5,8,9.875,10.5789
12523,1388246,130,117,2019-12-07 14:30:00,3,2019,2,1,Borussia M.Gladbach,Bayern Munich,1.33084,1.74378,0.2524,0.2912,0.4564,Bundesliga,7,16,3,5,2,8,5.5758,9.9688
12526,1388255,135,131,2019-12-07 14:30:00,3,2019,1,0,Freiburg,Wolfsburg,0.434528,1.59205,0.0777,0.203,0.7193,Bundesliga,10,10,3,0,2,2,7.2069,8.8571
12527,1388258,121,125,2019-12-07 14:30:00,3,2019,2,1,Augsburg,Mainz 05,3.03979,0.426387,0.9462,0.0437,0.0101,Bundesliga,18,12,5,3,9,3,6.9615,9.85
12522,1388243,119,124,2019-12-07 17:30:00,3,2019,2,1,Bayer Leverkusen,Schalke 04,3.0351,0.9976,0.8362,0.117,0.0468,Bundesliga,19,5,9,3,9,2,7.75,5.8529
12528,1388261,240,134,2019-12-08 14:30:00,3,2019,2,0,Union Berlin,FC Cologne,1.7912,0.772348,0.664,0.2131,0.1229,Bundesliga,11,14,5,4,2,1,7.4333,4.8
12525,1388252,123,205,2019-12-08 17:00:00,3,2019,0,1,Werder Bremen,Paderborn,0.8271,1.51679,0.1661,0.2866,0.5473,Bundesliga,12,15,3,5,10,4,8.931,9.1111
12531,1388270,120,121,2019-12-13 19:30:00,3,2019,2,4,Hoffenheim,Augsburg,1.75727,2.22713,0.2452,0.2503,0.5045,Bundesliga,19,6,8,4,12,5,31.4286,5.8667
12529,1388264,117,123,2019-12-14 14:30:00,3,2019,6,1,Bayern Munich,Werder Bremen,5.83554,0.536081,0.9968,0.0029,0.0003,Bundesliga,28,10,14,2,15,3,33.0833,4.8387
12533,1388276,122,135,2019-12-14 14:30:00,3,2019,1,0,Hertha Berlin,Freiburg,0.930886,0.816692,0.3584,0.3418,0.2998,Bundesliga,16,14,4,2,3,9,18.6364,22.9286
12534,1388279,125,129,2019-12-14 14:30:00,3,2019,0,4,Mainz 05,Borussia Dortmund,0.233287,1.4717,0.0488,0.229,0.7222,Bundesliga,9,18,0,7,4,12,8.6957,15.3333
12536,1388285,134,119,2019-12-14 14:30:00,3,2019,2,0,FC Cologne,Bayer Leverkusen,1.94644,0.226408,0.8517,0.1258,0.0225,Bundesliga,13,6,5,2,4,7,8.2308,11.6571
12537,1388288,205,240,2019-12-14 14:30:00,3,2019,1,1,Paderborn,Union Berlin,1.3758,1.79415,0.2697,0.2666,0.4637,Bundesliga,13,16,3,2,2,7,9.6667,4.6786
12532,1388273,233,136,2019-12-14 17:30:00,3,2019,0,3,Fortuna Duesseldorf,RasenBallsport Leipzig,0.263544,3.98532,0.0021,0.0118,0.9861,Bundesliga,5,22,1,7,0,10,9.3684,65.8571
12530,1388267,131,130,2019-12-15 14:30:00,3,2019,2,1,Wolfsburg,Borussia M.Gladbach,0.968068,0.502409,0.4487,0.3622,0.1891,Bundesliga,18,5,7,5,7,3,14.7222,7.5946
12535,1388282,124,132,2019-12-15 17:00:00,3,2019,1,0,Schalke 04,Eintracht Frankfurt,1.10732,1.01796,0.3653,0.3139,0.3208,Bundesliga,11,18,5,3,8,6,12.6316,9.95
12543,1388306,123,125,2019-12-17 17:30:00,3,2019,0,5,Werder Bremen,Mainz 05,0.48889,2.18253,0.0548,0.1438,0.8014,Bundesliga,14,17,5,8,6,8,18.2353,6.4615
12538,1388291,129,136,2019-12-17 19:30:00,3,2019,3,3,Borussia Dortmund,RasenBallsport Leipzig,1.89658,2.90735,0.1677,0.2009,0.6314,Bundesliga,14,12,6,8,10,5,15.1111,10.8846
12545,1388312,121,233,2019-12-17 19:30:00,3,2019,3,0,Augsburg,Fortuna Duesseldorf,1.4601,0.755838,0.5601,0.2831,0.1568,Bundesliga,12,6,7,2,5,0,10.8667,11.7143
12546,1388315,240,120,2019-12-17 19:30:00,3,2019,0,2,Union Berlin,Hoffenheim,1.53884,0.819222,0.5518,0.28,0.1682,Bundesliga,16,7,2,4,5,1,14.0,8.5652
12539,1388294,119,122,2019-12-18 17:30:00,3,2019,0,1,Bayer Leverkusen,Hertha Berlin,1.32267,1.51156,0.3085,0.2735,0.418,Bundesliga,17,10,7,5,6,1,16.92,5.75
12540,1388297,130,205,2019-12-18 19:30:00,3,2019,2,0,Borussia M.Gladbach,Paderborn,2.79858,0.508363,0.8955,0.0805,0.024,Bundesliga,17,12,6,2,6,4,8.6053,6.7027
12541,1388300,131,124,2019-12-18 19:30:00,3,2019,1,1,Wolfsburg,Schalke 04,2.99738,1.73056,0.6859,0.1869,0.1272,Bundesliga,29,8,11,2,13,8,6.4194,8.0833
