id,fid,h,a,date,league_id,season,h_goals,a_goals,team_h,team_a,h_xg,a_xg,h_w,h_d,h_l,league,h_shot,a_shot,h_shotOnTarget,a_shotOnTarget,h_deep,a_deep,a_ppda,h_ppda
10366,1294577,122,130,2018-09-22 13:30:00,3,2018,4,2,Hertha Berlin,Borussia M.Gladbach,3.9572,2.64706,0.664,0.1662,0.1698,Bundesliga,16,16,7,4,7,5,18.2353,17.75
10367,1294578,121,123,2018-09-22 13:30:00,3,2018,2,3,Augsburg,Werder Bremen,2.11259,1.39048,0.5452,0.2341,0.2207,Bundesliga,21,12,7,7,8,6,12.7059,8.1379
10368,1294579,131,135,2018-09-22 13:30:00,3,2018,1,3,Wolfsburg,Freiburg,0.826665,2.26733,0.0747,0.1576,0.7677,Bundesliga,19,11,9,8,7,3,19.3333,3.2143
10369,1294580,234,128,2018-09-22 13:30:00,3,2018,2,0,Nuernberg,Hannover 96,1.64985,0.557368,0.7056,0.2147,0.0797,Bundesliga,15,8,6,2,11,6,72.25,15.75
10370,1294572,124,117,2018-09-22 16:30:00,3,2018,0,2,Schalke 04,Bayern Munich,0.358342,2.58882,0.018,0.0647,0.9173,Bundesliga,10,14,2,7,1,7,7.1905,17.2069
10371,1294574,119,125,2018-09-23 13:30:00,3,2018,1,0,Bayer Leverkusen,Mainz 05,1.29357,0.76291,0.5024,0.2976,0.2,Bundesliga,18,12,5,5,16,7,13.1111,9.5556
10372,1294576,132,136,2018-09-23 16:00:00,3,2018,1,1,Eintracht Frankfurt,RasenBallsport Leipzig,1.80358,1.8818,0.3331,0.2931,0.3738,Bundesliga,8,9,5,2,4,5,10.4118,7.6552
10373,1294585,123,122,2018-09-25 16:30:00,3,2018,3,1,Werder Bremen,Hertha Berlin,2.51866,0.94148,0.8025,0.1422,0.0553,Bundesliga,14,11,6,2,10,5,17.4286,10.52
10374,1294586,128,120,2018-09-25 18:30:00,3,2018,1,3,Hannover 96,Hoffenheim,2.06878,1.98958,0.3972,0.2578,0.345,Bundesliga,16,19,8,9,8,7,14.04,6.8148
10375,1294587,135,124,2018-09-25 18:30:00,3,2018,1,0,Freiburg,Schalke 04,1.38048,0.928266,0.4886,0.2807,0.2307,Bundesliga,15,15,4,3,5,3,7.4091,9.0417
10376,1294581,117,121,2018-09-25 18:30:00,3,2018,1,1,Bayern Munich,Augsburg,1.43314,1.32512,0.3481,0.3514,0.3005,Bundesliga,15,11,8,4,3,3,11.1176,8.4737
10377,1294589,233,119,2018-09-26 16:30:00,3,2018,1,2,Fortuna Duesseldorf,Bayer Leverkusen,1.75244,1.48071,0.41,0.329,0.261,Bundesliga,16,6,4,3,8,5,9.3913,12.9583
10378,1294582,129,234,2018-09-26 18:30:00,3,2018,7,0,Borussia Dortmund,Nuernberg,2.18746,0.154216,0.8883,0.0977,0.014,Bundesliga,19,4,10,1,8,3,32.2222,13.25
10379,1294583,136,133,2018-09-26 18:30:00,3,2018,2,0,RasenBallsport Leipzig,VfB Stuttgart,3.13273,0.640951,0.9181,0.0654,0.0165,Bundesliga,18,9,8,0,8,3,8.05,14.8636
10380,1294584,130,132,2018-09-26 18:30:00,3,2018,3,1,Borussia M.Gladbach,Eintracht Frankfurt,1.5541,1.11709,0.4673,0.2698,0.2629,Bundesliga,21,12,9,2,7,3,14.8889,14.9231
10381,1294588,125,131,2018-09-26 18:30:00,3,2018,0,0,Mainz 05,Wolfsburg,0.362483,1.19657,0.092,0.286,0.622,Bundesliga,11,12,2,4,3,7,9.4545,10.15
10382,1294598,122,117,2018-09-28 18:30:00,3,2018,2,0,Hertha Berlin,Bayern Munich,1.48921,2.40599,0.1648,0.2304,0.6048,Bundesliga,6,24,4,4,4,20,4.1613,17.0
10383,1294593,133,123,2018-09-29 13:30:00,3,2018,2,1,VfB Stuttgart,Werder Bremen,2.43649,0.656694,0.8143,0.1302,0.0555,Bundesliga,18,14,5,3,5,4,7.45,13.5263
10384,1294590,124,125,2018-09-29 13:30:00,3,2018,1,0,Schalke 04,Mainz 05,1.59406,0.642848,0.6439,0.2381,0.118,Bundesliga,15,15,2,5,4,6,6.1786,9.9231
10385,1294591,120,136,2018-09-29 13:30:00,3,2018,1,2,Hoffenheim,RasenBallsport Leipzig,1.77221,1.47287,0.4443,0.2661,0.2896,Bundesliga,13,18,6,7,11,9,13.2083,7.8148
10386,1294602,131,130,2018-09-29 13:30:00,3,2018,2,2,Wolfsburg,Borussia M.Gladbach,0.802752,0.849348,0.3015,0.3555,0.343,Bundesliga,13,10,3,3,9,2,19.0,16.7857
10387,1294604,234,233,2018-09-29 13:30:00,3,2018,3,0,Nuernberg,Fortuna Duesseldorf,2.42225,1.17182,0.7149,0.1849,0.1002,Bundesliga,10,13,6,4,3,11,13.0,26.2308
10388,1294592,119,129,2018-09-29 16:30:00,3,2018,2,4,Bayer Leverkusen,Borussia Dortmund,1.34044,2.98145,0.0818,0.1432,0.775,Bundesliga,14,16,6,10,4,8,7.8929,12.5625
10389,1294596,132,128,2018-09-30 13:30:00,3,2018,4,1,Eintracht Frankfurt,Hannover 96,2.76495,0.613099,0.9022,0.084,0.0138,Bundesliga,16,4,7,1,8,2,6.3,9.2963
10390,1294600,121,135,2018-09-30 16:00:00,3,2018,4,1,Augsburg,Freiburg,4.37565,1.61825,0.9128,0.0608,0.0264,Bundesliga,22,13,10,6,10,3,12.8889,8.5357
10395,1294614,123,131,2018-10-05 18:30:00,3,2018,2,0,Werder Bremen,Wolfsburg,1.10209,0.351604,0.5709,0.3225,0.1066,Bundesliga,15,10,5,4,4,4,12.2222,13.3158
10393,1294610,129,121,2018-10-06 13:30:00,3,2018,4,3,Borussia Dortmund,Augsburg,2.09977,3.18937,0.1908,0.183,0.6262,Bundesliga,20,12,8,6,8,7,9.4242,23.8333
10396,1294616,128,133,2018-10-06 13:30:00,3,2018,3,1,Hannover 96,VfB Stuttgart,2.0396,0.69495,0.7262,0.1847,0.0891,Bundesliga,15,11,6,5,2,3,9.4,8.6154
10398,1294620,125,122,2018-10-06 13:30:00,3,2018,0,0,Mainz 05,Hertha Berlin,1.56562,1.00145,0.4954,0.2785,0.2261,Bundesliga,23,11,3,1,6,4,17.0,11.0
10399,1294622,233,124,2018-10-06 13:30:00,3,2018,0,2,Fortuna Duesseldorf,Schalke 04,0.557607,1.75802,0.0715,0.1978,0.7307,Bundesliga,9,15,3,5,5,4,7.4231,10.4286
10391,1294606,117,130,2018-10-06 16:30:00,3,2018,0,3,Bayern Munich,Borussia M.Gladbach,0.595523,0.559058,0.2917,0.4304,0.2779,Bundesliga,14,7,3,3,8,1,40.1818,7.4286
10397,1294618,135,119,2018-10-07 11:30:00,3,2018,0,0,Freiburg,Bayer Leverkusen,0.501569,0.551906,0.2694,0.4424,0.2882,Bundesliga,7,14,1,0,5,3,7.7308,11.875
10392,1294608,120,132,2018-10-07 13:30:00,3,2018,1,2,Hoffenheim,Eintracht Frankfurt,2.24067,1.02517,0.699,0.2022,0.0988,Bundesliga,21,6,4,4,12,1,13.8571,6.6842
10394,1294612,136,234,2018-10-07 16:00:00,3,2018,6,0,RasenBallsport Leipzig,Nuernberg,3.17935,0.394254,0.9563,0.0392,0.0045,Bundesliga,19,3,8,0,5,2,28.9167,8.2
10403,1294630,132,233,2018-10-19 18:30:00,3,2018,7,1,Eintracht Frankfurt,Fortuna Duesseldorf,3.51257,0.666096,0.9294,0.0536,0.017,Bundesliga,21,9,13,4,8,3,14.6087,14.7778
10401,1294626,119,128,2018-10-20 13:30:00,3,2018,2,2,Bayer Leverkusen,Hannover 96,2.38988,1.0744,0.7144,0.1881,0.0975,Bundesliga,20,11,7,7,8,3,8.64,5.4762
10402,1294628,133,129,2018-10-20 13:30:00,3,2018,0,4,VfB Stuttgart,Borussia Dortmund,1.03693,0.952768,0.3651,0.3331,0.3018,Bundesliga,14,12,5,4,6,8,18.4375,16.6
10406,1294636,121,136,2018-10-20 13:30:00,3,2018,0,0,Augsburg,RasenBallsport Leipzig,0.267706,1.098,0.0793,0.3074,0.6133,Bundesliga,6,18,0,4,1,7,5.3514,4.697
10407,1294638,131,117,2018-10-20 13:30:00,3,2018,1,3,Wolfsburg,Bayern Munich,0.815476,2.75811,0.0334,0.1116,0.855,Bundesliga,9,13,1,11,2,7,13.5294,15.8
10408,1294640,234,120,2018-10-20 13:30:00,3,2018,1,3,Nuernberg,Hoffenheim,1.11043,2.46148,0.0882,0.1929,0.7189,Bundesliga,7,19,2,12,3,15,5.7083,25.2667
10400,1294624,124,123,2018-10-20 16:30:00,3,2018,0,2,Schalke 04,Werder Bremen,0.966026,0.399747,0.5139,0.3504,0.1357,Bundesliga,12,8,4,3,4,5,8.4643,14.1905
10405,1294634,122,135,2018-10-21 13:30:00,3,2018,1,1,Hertha Berlin,Freiburg,0.877118,0.427269,0.4543,0.3778,0.1679,Bundesliga,13,8,5,3,4,3,17.45,8.0
10404,1294632,130,125,2018-10-21 16:00:00,3,2018,4,0,Borussia M.Gladbach,Mainz 05,3.00692,0.472964,0.9402,0.0495,0.0103,Bundesliga,16,14,8,4,8,2,23.7333,20.125
10414,1294652,135,130,2018-10-26 18:30:00,3,2018,3,1,Freiburg,Borussia M.Gladbach,1.41352,1.14643,0.3978,0.3606,0.2416,Bundesliga,13,10,7,2,3,4,13.5909,23.125
10410,1294644,129,122,2018-10-27 13:30:00,3,2018,2,2,Borussia Dortmund,Hertha Berlin,3.57277,2.04279,0.73,0.1617,0.1083,Bundesliga,19,11,5,4,15,5,8.6333,10.2381
10413,1294650,128,121,2018-10-27 13:30:00,3,2018,1,2,Hannover 96,Augsburg,0.616434,1.45577,0.1179,0.2515,0.6306,Bundesliga,17,9,4,4,6,2,7.625,4.6667
10415,1294654,125,117,2018-10-27 13:30:00,3,2018,1,2,Mainz 05,Bayern Munich,0.592384,2.15695,0.0542,0.1697,0.7761,Bundesliga,6,23,1,5,3,12,8.55,27.3571
10416,1294656,233,131,2018-10-27 13:30:00,3,2018,0,3,Fortuna Duesseldorf,Wolfsburg,0.245269,1.74956,0.028,0.1501,0.8219,Bundesliga,5,18,1,6,3,6,6.9167,15.2105
10409,1294642,120,133,2018-10-27 16:30:00,3,2018,4,0,Hoffenheim,VfB Stuttgart,2.93243,0.253449,0.9651,0.0314,0.0035,Bundesliga,23,6,10,0,19,0,23.5,3.931
10417,1294658,234,132,2018-10-28 11:30:00,3,2018,1,1,Nuernberg,Eintracht Frankfurt,0.949097,0.998569,0.3048,0.3466,0.3486,Bundesliga,10,10,3,2,3,4,11.9474,17.9333
10411,1294646,136,124,2018-10-28 13:30:00,3,2018,0,0,RasenBallsport Leipzig,Schalke 04,0.760107,0.754245,0.3091,0.3681,0.3228,Bundesliga,15,6,2,0,8,2,11.0,4.4444
10412,1294648,123,119,2018-10-28 16:00:00,3,2018,2,6,Werder Bremen,Bayer Leverkusen,1.49927,4.07211,0.0478,0.0854,0.8668,Bundesliga,14,18,6,12,7,8,23.125,7.2414
10425,1294849,133,132,2018-11-02 19:30:00,3,2018,0,3,VfB Stuttgart,Eintracht Frankfurt,1.02365,3.33128,0.0393,0.0943,0.8664,Bundesliga,10,15,0,7,2,11,11.9231,16.3333
10419,1294595,121,234,2018-11-03 14:30:00,3,2018,2,2,Augsburg,Nuernberg,2.61879,1.37885,0.6858,0.1879,0.1263,Bundesliga,16,15,4,5,7,6,11.2727,7.5714
10421,1294599,131,129,2018-11-03 14:30:00,3,2018,0,1,Wolfsburg,Borussia Dortmund,0.44332,1.19435,0.1121,0.2842,0.6037,Bundesliga,12,12,3,1,4,5,9.4583,12.7619
10422,1294660,117,135,2018-11-03 14:30:00,3,2018,1,1,Bayern Munich,Freiburg,1.8539,0.592458,0.7149,0.2014,0.0837,Bundesliga,24,10,6,1,17,1,21.875,6.0
10423,1294847,124,128,2018-11-03 14:30:00,3,2018,3,1,Schalke 04,Hannover 96,2.95181,1.18456,0.7955,0.132,0.0725,Bundesliga,15,19,6,6,7,7,12.6333,7.3793
10424,1294848,119,120,2018-11-03 14:30:00,3,2018,1,4,Bayer Leverkusen,Hoffenheim,2.21447,1.93557,0.4368,0.2445,0.3187,Bundesliga,20,10,9,4,8,4,10.2143,9.5652
10418,1294594,122,136,2018-11-03 17:30:00,3,2018,0,3,Hertha Berlin,RasenBallsport Leipzig,1.79233,3.76073,0.0914,0.129,0.7796,Bundesliga,13,23,5,11,7,17,10.68,12.6471
10426,1294850,130,233,2018-11-04 14:30:00,3,2018,3,0,Borussia M.Gladbach,Fortuna Duesseldorf,3.16198,0.719516,0.8961,0.0768,0.0271,Bundesliga,20,13,7,6,9,1,26.6154,9.1071
10420,1294597,125,123,2018-11-04 17:00:00,3,2018,2,1,Mainz 05,Werder Bremen,1.54801,1.25758,0.431,0.3052,0.2638,Bundesliga,14,14,6,4,3,11,11.6667,21.2632
10432,1294611,128,131,2018-11-09 19:30:00,3,2018,2,1,Hannover 96,Wolfsburg,2.08751,2.99196,0.1954,0.2143,0.5903,Bundesliga,10,19,4,9,8,11,4.1818,12.6957
10427,1294601,120,121,2018-11-10 14:30:00,3,2018,2,1,Hoffenheim,Augsburg,1.82862,1.14191,0.5452,0.2456,0.2092,Bundesliga,18,22,7,7,12,17,13.2381,11.16
10431,1294609,123,130,2018-11-10 14:30:00,3,2018,1,3,Werder Bremen,Borussia M.Gladbach,1.50955,2.73709,0.1565,0.1708,0.6727,Bundesliga,20,16,5,6,12,6,23.2143,23.7143
10433,1294613,135,125,2018-11-10 14:30:00,3,2018,1,3,Freiburg,Mainz 05,1.86463,0.770571,0.6654,0.2107,0.1239,Bundesliga,15,12,4,9,3,6,12.0417,6.2917
10434,1294615,233,122,2018-11-10 14:30:00,3,2018,4,1,Fortuna Duesseldorf,Hertha Berlin,2.89841,0.960102,0.823,0.1243,0.0527,Bundesliga,20,10,9,6,8,3,13.15,13.2083
10435,1294617,234,133,2018-11-10 14:30:00,3,2018,0,2,Nuernberg,VfB Stuttgart,0.434841,1.54977,0.0765,0.2157,0.7078,Bundesliga,10,15,3,4,4,3,14.0625,10.2
10428,1294603,129,117,2018-11-10 17:30:00,3,2018,3,2,Borussia Dortmund,Bayern Munich,2.56191,1.84247,0.5612,0.2428,0.196,Bundesliga,11,10,5,3,5,16,9.7419,24.6429
10429,1294605,136,119,2018-11-11 14:30:00,3,2018,3,0,RasenBallsport Leipzig,Bayer Leverkusen,2.55127,0.443215,0.8819,0.0933,0.0248,Bundesliga,14,6,6,2,11,1,9.0909,13.7407
10430,1294607,132,124,2018-11-11 17:00:00,3,2018,3,0,Eintracht Frankfurt,Schalke 04,2.51248,0.609591,0.8677,0.1074,0.0249,Bundesliga,14,5,4,1,3,1,8.8333,7.6667
10438,1294623,119,133,2018-11-23 19:30:00,3,2018,2,0,Bayer Leverkusen,VfB Stuttgart,2.62916,0.393762,0.889,0.0873,0.0237,Bundesliga,17,10,4,2,13,3,14.0,11.5
10436,1294619,117,233,2018-11-24 14:30:00,3,2018,3,3,Bayern Munich,Fortuna Duesseldorf,2.81107,1.36755,0.7187,0.1685,0.1128,Bundesliga,17,9,5,5,13,0,62.4444,6.7778
10440,1294627,122,120,2018-11-24 14:30:00,3,2018,3,3,Hertha Berlin,Hoffenheim,2.69304,1.68148,0.618,0.1968,0.1852,Bundesliga,23,13,8,6,14,9,14.3333,8.8095
10441,1294629,121,132,2018-11-24 14:30:00,3,2018,1,3,Augsburg,Eintracht Frankfurt,2.01274,3.21577,0.1745,0.1761,0.6494,Bundesliga,25,15,10,7,14,10,14.1579,7.6667
10443,1294633,125,129,2018-11-24 14:30:00,3,2018,1,2,Mainz 05,Borussia Dortmund,1.05805,1.08217,0.318,0.3382,0.3438,Bundesliga,15,11,7,7,5,5,8.4118,28.5
10444,1294635,131,136,2018-11-24 14:30:00,3,2018,1,0,Wolfsburg,RasenBallsport Leipzig,1.54495,0.647326,0.6638,0.2386,0.0976,Bundesliga,5,9,3,4,4,8,6.4444,12.8125
10437,1294621,124,234,2018-11-24 17:30:00,3,2018,5,2,Schalke 04,Nuernberg,2.77116,2.29783,0.4789,0.2478,0.2733,Bundesliga,20,12,10,6,10,3,15.8421,9.7407
10442,1294631,135,123,2018-11-25 14:30:00,3,2018,1,1,Freiburg,Werder Bremen,2.98264,2.13569,0.5771,0.1973,0.2256,Bundesliga,23,19,9,8,7,13,15.125,16.8333
10439,1294625,130,128,2018-11-25 17:00:00,3,2018,4,1,Borussia M.Gladbach,Hannover 96,1.70943,0.459166,0.7007,0.2196,0.0797,Bundesliga,20,6,6,3,14,0,46.5,10.6364
10452,1294651,233,125,2018-11-30 19:30:00,3,2018,0,1,Fortuna Duesseldorf,Mainz 05,1.10941,1.02576,0.3691,0.3064,0.3245,Bundesliga,20,15,7,3,6,8,22.6923,16.4118
10446,1294639,129,135,2018-12-01 14:30:00,3,2018,2,0,Borussia Dortmund,Freiburg,2.69109,0.143781,0.9617,0.0358,0.0025,Bundesliga,11,5,4,1,7,0,20.1429,10.375
10448,1294643,133,121,2018-12-01 14:30:00,3,2018,1,0,VfB Stuttgart,Augsburg,0.710341,1.64707,0.1346,0.2395,0.6259,Bundesliga,14,18,3,4,2,4,6.45,15.0556
10450,1294647,123,117,2018-12-01 14:30:00,3,2018,1,2,Werder Bremen,Bayern Munich,0.637321,3.29433,0.018,0.0589,0.9231,Bundesliga,8,17,3,5,7,14,16.7333,17.5714
10451,1294649,128,122,2018-12-01 14:30:00,3,2018,0,2,Hannover 96,Hertha Berlin,0.54136,2.10742,0.055,0.1487,0.7963,Bundesliga,11,13,2,8,5,10,11.5,7.8182
10445,1294637,120,124,2018-12-01 17:30:00,3,2018,1,1,Hoffenheim,Schalke 04,2.35914,2.15866,0.4245,0.2497,0.3258,Bundesliga,20,15,7,5,10,3,8.64,6.5526
10447,1294641,136,130,2018-12-02 14:30:00,3,2018,2,0,RasenBallsport Leipzig,Borussia M.Gladbach,2.39576,0.628352,0.8158,0.1321,0.0521,Bundesliga,14,7,6,4,8,3,14.05,25.2353
