match_id,is_result,home_team_id,home_team,home_team_short,away_team_id,away_team,away_team_short,home_goals,away_goals,home_xG,away_xG,match_datetime,forecast_win,forecast_draw,forecast_loss,league,year
10373,True,123,Werder Bremen,WER,122,Hertha Berlin,HER,3,1,2.51866,0.94148,2018-09-25 16:30:00,0.8025,0.1422,0.0553,Bundesliga,2018
10374,True,128,Hannover 96,HAN,120,Hoffenheim,HOF,1,3,2.06878,1.98958,2018-09-25 18:30:00,0.3972,0.2578,0.345,Bundesliga,2018
10375,True,135,Freiburg,FRE,124,Schalke 04,SCH,1,0,1.38048,0.928266,2018-09-25 18:30:00,0.4886,0.2807,0.2307,Bundesliga,2018
10376,True,117,Bayern Munich,BAY,121,Augsburg,AUG,1,1,1.43314,1.32512,2018-09-25 18:30:00,0.3481,0.3514,0.3005,Bundesliga,2018
10377,True,233,Fortuna Duesseldorf,FOR,119,Bayer Leverkusen,LEV,1,2,1.75244,1.48071,2018-09-26 16:30:00,0.41,0.329,0.261,Bundesliga,2018
10378,True,129,Borussia Dortmund,DOR,234,Nuernberg,NUE,7,0,2.18746,0.154216,2018-09-26 18:30:00,0.8883,0.0977,0.014,Bundesliga,2018
10379,True,136,RasenBallsport Leipzig,RBL,133,VfB Stuttgart,STU,2,0,3.13273,0.640951,2018-09-26 18:30:00,0.9181,0.0654,0.0165,Bundesliga,2018
10380,True,130,Borussia M.Gladbach,BMG,132,Eintracht Frankfurt,EIN,3,1,1.5541,1.11709,2018-09-26 18:30:00,0.4673,0.2698,0.2629,Bundesliga,2018
10381,True,125,Mainz 05,MAI,131,Wolfsburg,WOL,0,0,0.362483,1.19657,2018-09-26 18:30:00,0.092,0.286,0.622,Bundesliga,2018
10382,True,122,Hertha Berlin,HER,117,Bayern Munich,BAY,2,0,1.48921,2.40599,2018-09-28 18:30:00,0.1648,0.2304,0.6048,Bundesliga,2018
10383,True,133,VfB Stuttgart,STU,123,Werder Bremen,WER,2,1,2.43649,0.656694,2018-09-29 13:30:00,0.8143,0.1302,0.0555,Bundesliga,2018
10384,True,124,Schalke 04,SCH,125,Mainz 05,MAI,1,0,1.59406,0.642848,2018-09-29 13:30:00,0.6439,0.2381,0.118,Bundesliga,2018
10385,True,120,Hoffenheim,HOF,136,RasenBallsport Leipzig,RBL,1,2,1.77221,1.47287,2018-09-29 13:30:00,0.4443,0.2661,0.2896,Bundesliga,2018
10386,True,131,Wolfsburg,WOL,130,Borussia M.Gladbach,BMG,2,2,0.802752,0.849348,2018-09-29 13:30:00,0.3015,0.3555,0.343,Bundesliga,2018
10387,True,234,Nuernberg,NUE,233,Fortuna Duesseldorf,FOR,3,0,2.42225,1.17182,2018-09-29 13:30:00,0.7149,0.1849,0.1002,Bundesliga,2018
10388,True,119,Bayer Leverkusen,LEV,129,Borussia Dortmund,DOR,2,4,1.34044,2.98145,2018-09-29 16:30:00,0.0818,0.1432,0.775,Bundesliga,2018
10389,True,132,Eintracht Frankfurt,EIN,128,Hannover 96,HAN,4,1,2.76495,0.613099,2018-09-30 13:30:00,0.9022,0.084,0.0138,Bundesliga,2018
10390,True,121,Augsburg,AUG,135,Freiburg,FRE,4,1,4.37565,1.61825,2018-09-30 16:00:00,0.9128,0.0608,0.0264,Bundesliga,2018
10395,True,123,Werder Bremen,WER,131,Wolfsburg,WOL,2,0,1.10209,0.351604,2018-10-05 18:30:00,0.5709,0.3225,0.1066,Bundesliga,2018
10393,True,129,Borussia Dortmund,DOR,121,Augsburg,AUG,4,3,2.09977,3.18937,2018-10-06 13:30:00,0.1908,0.183,0.6262,Bundesliga,2018
10396,True,128,Hannover 96,HAN,133,VfB Stuttgart,STU,3,1,2.0396,0.69495,2018-10-06 13:30:00,0.7262,0.1847,0.0891,Bundesliga,2018
10398,True,125,Mainz 05,MAI,122,Hertha Berlin,HER,0,0,1.56562,1.00145,2018-10-06 13:30:00,0.4954,0.2785,0.2261,Bundesliga,2018
10399,True,233,Fortuna Duesseldorf,FOR,124,Schalke 04,SCH,0,2,0.557607,1.75802,2018-10-06 13:30:00,0.0715,0.1978,0.7307,Bundesliga,2018
10391,True,117,Bayern Munich,BAY,130,Borussia M.Gladbach,BMG,0,3,0.595523,0.559058,2018-10-06 16:30:00,0.2917,0.4304,0.2779,Bundesliga,2018
10397,True,135,Freiburg,FRE,119,Bayer Leverkusen,LEV,0,0,0.501569,0.551906,2018-10-07 11:30:00,0.2694,0.4424,0.2882,Bundesliga,2018
10392,True,120,Hoffenheim,HOF,132,Eintracht Frankfurt,EIN,1,2,2.24067,1.02517,2018-10-07 13:30:00,0.699,0.2022,0.0988,Bundesliga,2018
10394,True,136,RasenBallsport Leipzig,RBL,234,Nuernberg,NUE,6,0,3.17935,0.394254,2018-10-07 16:00:00,0.9563,0.0392,0.0045,Bundesliga,2018
10403,True,132,Eintracht Frankfurt,EIN,233,Fortuna Duesseldorf,FOR,7,1,3.51257,0.666096,2018-10-19 18:30:00,0.9294,0.0536,0.017,Bundesliga,2018
10401,True,119,Bayer Leverkusen,LEV,128,Hannover 96,HAN,2,2,2.38988,1.0744,2018-10-20 13:30:00,0.7144,0.1881,0.0975,Bundesliga,2018
10402,True,133,VfB Stuttgart,STU,129,Borussia Dortmund,DOR,0,4,1.03693,0.952768,2018-10-20 13:30:00,0.3651,0.3331,0.3018,Bundesliga,2018
10406,True,121,Augsburg,AUG,136,RasenBallsport Leipzig,RBL,0,0,0.267706,1.098,2018-10-20 13:30:00,0.0793,0.3074,0.6133,Bundesliga,2018
10407,True,131,Wolfsburg,WOL,117,Bayern Munich,BAY,1,3,0.815476,2.75811,2018-10-20 13:30:00,0.0334,0.1116,0.855,Bundesliga,2018
10408,True,234,Nuernberg,NUE,120,Hoffenheim,HOF,1,3,1.11043,2.46148,2018-10-20 13:30:00,0.0882,0.1929,0.7189,Bundesliga,2018
10400,True,124,Schalke 04,SCH,123,Werder Bremen,WER,0,2,0.966026,0.399747,2018-10-20 16:30:00,0.5139,0.3504,0.1357,Bundesliga,2018
10405,True,122,Hertha Berlin,HER,135,Freiburg,FRE,1,1,0.877118,0.427269,2018-10-21 13:30:00,0.4543,0.3778,0.1679,Bundesliga,2018
10404,True,130,Borussia M.Gladbach,BMG,125,Mainz 05,MAI,4,0,3.00692,0.472964,2018-10-21 16:00:00,0.9402,0.0495,0.0103,Bundesliga,2018
10414,True,135,Freiburg,FRE,130,Borussia M.Gladbach,BMG,3,1,1.41352,1.14643,2018-10-26 18:30:00,0.3978,0.3606,0.2416,Bundesliga,2018
10410,True,129,Borussia Dortmund,DOR,122,Hertha Berlin,HER,2,2,3.57277,2.04279,2018-10-27 13:30:00,0.73,0.1617,0.1083,Bundesliga,2018
10413,True,128,Hannover 96,HAN,121,Augsburg,AUG,1,2,0.616434,1.45577,2018-10-27 13:30:00,0.1179,0.2515,0.6306,Bundesliga,2018
10415,True,125,Mainz 05,MAI,117,Bayern Munich,BAY,1,2,0.592384,2.15695,2018-10-27 13:30:00,0.0542,0.1697,0.7761,Bundesliga,2018
10416,True,233,Fortuna Duesseldorf,FOR,131,Wolfsburg,WOL,0,3,0.245269,1.74956,2018-10-27 13:30:00,0.028,0.1501,0.8219,Bundesliga,2018
10409,True,120,Hoffenheim,HOF,133,VfB Stuttgart,STU,4,0,2.93243,0.253449,2018-10-27 16:30:00,0.9651,0.0314,0.0035,Bundesliga,2018
10417,True,234,Nuernberg,NUE,132,Eintracht Frankfurt,EIN,1,1,0.949097,0.998569,2018-10-28 11:30:00,0.3048,0.3466,0.3486,Bundesliga,2018
